domain,rigsmyndighed
airports.gl,0
ako.gl,1
asiaq.gl,0
at.gl,1
avannaata.gl,0
bus.gl,0
domstol.gl,1
govmin.gl,0
greatgreenland.com,0
gu-nuuk.gl,0
gux-aasiaat.gl,0
gux.gl,0
guxnuuk.gl,0
ilinniusiorfik.gl,0
illuut.gl,0
ina.gl,0
inatsisartut.gl,0
inerisaavik.gl,0
ini.gl,0
inuili.gl,0
jrcc.gl,1
kair.gl,0
kni.gl,0
knr.gl,0
kti.gl,0
kujalleq.gl,0
landsret.gl,1
mit.gl,0
nalunaarutit.gl,0
nanoq.gl,0
natur.gl,0
nukissiorfiit.gl,0
nunagreen.com,0
nunagreen.gl,0
ombudsmand.gl,0
oqaasileriffik.gl,0
polaroil.gl,0
politi.gl,1
qeqertalik.gl,0
qeqqata.gl,0
ral.gl,0
royalgreenland.gl,0
sermersooq.gl,0
stat.gl,0
sullissivik.gl,0
tusass.gl,0
uni.gl,0
visitgreenland.gl,0
Airgreenland.gl,0
peqqik.gl,0
katuaq.gl,0
